,place_name,price_aprox_usd,surface_covered_in_m2,price_usd_per_m2,rooms_compuesta,amenitie_balcon,amenitie_cochera,amenitie_parrilla,amenitie_pileta,amenitie_amoblado,estrenar,lat,lon
3704,Belgrano,729000.0,200.0,3645.0,3.0,1,1,0,0,0,0,-34.56661987,-58.43175888
3825,Palermo,155000.0,56.0,2767.8571428571427,1.0,1,0,1,1,0,0,-34.57927704,-58.42899704
3935,Belgrano,239000.0,122.0,1810.6060606060605,3.0,1,0,0,0,0,0,-34.5673754305,-58.450069446
3939,Palermo,130000.0,32.0,3611.111111111111,1.0,1,1,0,1,0,0,-34.571149600000005,-58.4232966
3943,Belgrano,1200000.0,200.0,6000.0,4.0,1,1,0,1,0,0,-34.5519693,-58.4434368
3951,Palermo,360000.0,87.0,3913.0434782608704,4.0,1,1,0,0,0,0,-34.5872575,-58.40886210000001
4097,Caballito,224500.0,94.0,1886.5546218487395,3.0,0,0,1,0,0,0,-34.6097156,-58.4433275
4187,Caballito,270000.0,145.0,1687.5,3.0,1,0,0,0,0,0,-34.6209278,-58.44587360000001
4207,Palermo,1400000.0,270.0,4666.666666666667,3.0,1,1,0,1,0,0,-34.5855574,-58.4099159
4223,Caballito,168000.0,85.0,1976.470588235294,3.0,0,0,0,0,0,0,-34.6076183,-58.4468311
4250,Caballito,127500.0,37.0,3445.945945945946,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4251,Caballito,127500.0,37.0,3445.945945945946,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4252,Caballito,128000.0,36.0,3555.555555555556,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4253,Caballito,128000.0,36.0,3555.555555555556,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4254,Caballito,90000.0,25.0,3600.0,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4255,Caballito,123500.0,36.0,3430.555555555556,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4256,Caballito,123500.0,36.0,3430.555555555556,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4257,Caballito,124500.0,36.0,3458.333333333333,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4258,Caballito,124500.0,36.0,3458.333333333333,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4259,Caballito,87100.0,25.0,3484.0,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4260,Caballito,163700.0,43.0,3806.9767441860463,1.0,0,1,1,1,0,0,-34.62818,-58.429483
4293,Caballito,269000.0,115.0,2339.1304347826085,5.0,1,0,0,0,0,0,-34.620367,-58.438849
4302,Palermo,121966.0,49.0,2489.1020408163267,1.0,1,1,0,1,0,0,-34.584129,-58.44293100000001
4306,Belgrano,119689.0,53.0,2258.2830188679245,1.0,0,0,0,1,0,0,-34.5625693905,-58.46583264970001
4326,Palermo,480000.0,143.0,2553.1914893617013,5.0,1,1,1,0,0,0,-34.580299100000005,-58.4355947
4507,Caballito,112000.0,48.0,2240.0,3.0,1,0,1,0,0,0,-34.6045148,-58.4611725
4545,Palermo,175000.0,65.0,2692.3076923076924,3.0,0,0,0,0,0,0,-34.573725,-58.432487
4636,Belgrano,130000.0,40.0,3095.238095238096,1.0,0,0,0,0,0,1,-34.57115183760001,-58.4347782312
4643,Belgrano,96000.0,31.0,2909.090909090909,1.0,1,0,0,1,0,0,-34.5528283394,-58.4562092821
4648,Belgrano,170000.0,47.0,3617.021276595745,2.0,1,1,0,0,0,0,-34.553283951,-58.451579474
4681,Belgrano,1200000.0,434.0,2764.9769585253457,4.0,1,1,1,0,0,1,-34.558368,-58.454475
4691,Palermo,370000.0,76.0,4868.421052631579,3.0,0,1,1,1,0,1,-34.576945,-58.430473
4705,Caballito,229000.0,93.0,2462.3655913978496,4.0,1,0,0,1,0,0,-34.621272,-58.438318
4712,Belgrano,520000.0,149.0,2971.428571428572,4.0,1,1,0,0,0,0,-34.5653361,-58.450373
4833,Caballito,350000.0,97.0,1434.426229508197,2.0,0,0,1,0,0,0,-34.621814,-58.4399847
4862,Belgrano,84000.0,37.0,2270.2702702702704,2.0,0,0,0,1,0,0,-34.567433,-58.472395
4867,Palermo,145600.0,49.0,2800.0,1.0,0,0,0,1,0,0,-34.598341600000005,-58.415985
4868,Palermo,1600000.0,400.0,4000.0,3.0,1,0,0,1,0,0,-34.5766658,-58.402929500000006
4869,Palermo,328000.0,52.0,6307.692307692309,1.0,1,1,0,0,0,1,-34.577423100000004,-58.4248123
5146,Palermo,81900.0,30.0,2340.0,1.0,1,0,0,0,0,0,-34.584200700000004,-58.42080479999999
5182,Belgrano,98000.0,32.0,2800.0,1.0,0,0,0,1,0,1,-34.5620844,-58.4566864
5190,Palermo,338900.0,52.0,6517.307692307692,1.0,1,1,0,1,0,0,-34.577423100000004,-58.4248123
5191,Belgrano,98000.0,32.0,2648.648648648649,1.0,0,0,0,1,0,1,-34.5640079,-58.45670429999999
5197,Belgrano,119000.0,34.0,3500.0,1.0,1,1,0,0,0,1,-34.5760033,-58.438976
5207,Caballito,206000.0,65.0,2861.1111111111118,3.0,1,0,1,0,0,0,-34.6183324,-58.4506085
5212,Palermo,720000.0,197.0,3654.8223350253807,4.0,1,1,0,0,0,0,-34.5741514,-58.4201495
5387,Caballito,119000.0,57.0,2087.719298245614,2.0,1,1,1,1,0,0,-34.617356,-58.46135699999999
5395,Palermo,160000.0,60.0,2666.6666666666665,3.0,1,0,0,0,0,0,-34.578952,-58.435099
5415,Palermo,525000.0,137.0,3595.890410958904,2.0,1,0,0,0,0,0,-34.5730769,-58.4190182
5420,Palermo,445000.0,64.0,6544.117647058823,2.0,0,1,0,1,0,0,-34.580784200000004,-58.4073022
5441,Belgrano,390000.0,110.0,3277.310924369748,4.0,1,1,0,0,0,0,-34.5620844,-58.4566864
5539,Caballito,280000.0,147.0,1944.4444444444448,3.0,0,0,0,0,0,0,-34.6162909,-58.42902579999999
5624,Belgrano,177000.0,68.0,2602.9411764705883,3.0,1,0,0,0,0,0,-34.563210835700005,-58.4571950554
5671,Belgrano,400000.0,148.0,2395.2095808383237,4.0,1,1,0,0,0,0,-34.5681975,-58.44442320000001
5700,Caballito,85000.0,43.0,1976.744186046512,3.0,0,0,0,0,0,0,-34.604744399999994,-58.4399899
5703,Belgrano,110000.0,30.0,3142.857142857143,1.0,1,1,1,1,0,0,-34.5620844,-58.4566864
5707,Caballito,185000.0,76.0,2434.2105263157896,4.0,1,0,0,0,0,0,-34.6208571674,-58.4311107216
5725,Belgrano,710000.0,213.0,3333.333333333333,3.0,1,1,0,0,0,0,-34.5602401,-58.4512373
5736,Belgrano,114000.0,30.0,3257.142857142857,1.0,1,1,1,1,0,0,-34.57307481780001,-58.4401210771
5737,Belgrano,101000.0,30.0,2885.714285714286,1.0,1,1,1,1,0,0,-34.5733221738,-58.4401210771
5774,Caballito,204000.0,104.0,1961.5384615384612,3.0,0,0,0,0,0,0,-34.617321000000004,-58.439614
5776,Caballito,132900.0,60.0,2215.0,1.0,1,1,1,0,0,1,-34.617228000000004,-58.457265
5788,Belgrano,95000.0,35.0,2714.285714285714,1.0,1,0,1,1,0,1,-34.575013,-58.472672
5794,Belgrano,188000.0,53.0,3547.169811320755,2.0,1,1,0,1,0,0,-34.558753,-58.446029
5801,Caballito,270000.0,111.0,2432.4324324324325,4.0,0,0,1,1,0,0,-34.60488400000001,-58.45822
5806,Palermo,185000.0,67.0,2761.194029850746,3.0,1,1,1,1,0,0,-34.594127,-58.441129
